transcript_name;probe_name;SAS_strand;strand;3280_F2_C1_I1_R1_cy3;3280_F2_C1_I1_R2_cy5;3280_F2_C1_I5_R1_cy3;3280_F2_C1_I5_R2_cy5;3280_F2_C1_L1_R1_cy3;3280_F2_C1_L1_R2_cy5;3280_F2_C2_I1_R1_cy3;3280_F2_C2_I1_R2_cy5;3280_F2_C2_I5_R1_cy3;3280_F2_C2_I5_R2_cy5;3280_F2_C2_I9_R1_cy3;3280_F2_C2_I9_R2_cy5;3280_F2_C2_L1_R1_cy3;3280_F2_C2_L1_R2_cy5;3280_F2_C3_I1_R1_cy3;3280_F2_C3_I1_R2_cy5;3280_F2_C3_I5_R1_cy3;3280_F2_C3_I5_R2_cy5;3280_F2_C3_I9_R1_cy3;3280_F2_C3_I9_R2_cy5;3280_F2_C3_L1_R1_cy3;3280_F2_C3_L1_R2_cy5;3280_F2_C4_I1_R1_cy3;3280_F2_C4_I1_R2_cy5;3280_F2_C4_I5_R1_cy3;3280_F2_C4_I5_R2_cy5;3280_F2_C4_I9_R1_cy3;3280_F2_C4_I9_R2_cy5;3280_F2_C4_L1_R1_cy3;3280_F2_C4_L1_R2_cy5
SCEPRT2043E10.g;GS1_SS_18388_05926;SCEPRT2043E10.g_SS;SS;10,3514;9,963;9,7953;10,3466;;;9,5008;9,1292;9,9568;10,2294;;;;;9,652;9,9676;10,4462;10,2133;;;;;9,8031;10,0786;10,9195;10,403;6,3582;;5,8015;
SCJLRT1022E11.g;GS1_SS_22573_00346;SCJLRT1022E11.g_SS;SS;9,3746;9,1548;10,1176;9,6926;10,899;10,8234;9,6974;9,5253;10,2682;10,2389;11,4121;11,3623;10,4562;11,2014;8,7222;9,5055;9,8099;10,5582;10,5151;10,8023;10,8978;10,803;9,2538;9,4324;10,2686;10,4448;11,3762;11,1321;11,701;11,3314
SCACST3157F11.g;GS1_SS_18383_06219;SCACST3157F11.g_SS;SS;5,5633;;;;;;;;;;;;;;6,2036;7,2404;;;;;;;;;6,1385;6,6642;6,0498;;;
SCCCLR1065F10.g;GS1_SS_22560_09618;SCCCLR1065F10.g_SS;SS;11,0174;11,0936;11,5172;11,2954;11,1139;11,6826;11,0584;10,8585;11,349;11,2016;12,7226;12,7331;10,685;11,383;10,1904;11,1933;11,3751;11,938;12,4577;12,5396;11,6215;11,6824;10,7154;11,203;11,0668;11,9213;12,6722;13,0652;12,1206;11,9145
SCJFFL3C02E11.g;GS1_SS_22559_06142;SCJFFL3C02E11.g_SS;SS;7,8736;7,8476;7,4639;7,0498;6,7899;7,1162;7,4255;6,7847;6,7931;7,0342;7,035;7,0957;6,7305;6,7058;7,7564;8,14;7,7727;7,1701;;7,0665;6,1605;7,437;6,8809;7,407;8,2794;8,0138;7,6245;7,4238;7,2168;6,6818
SCVPCL6044F03.g;GS1_SS_22563_15874;SCVPCL6044F03.g_SS;SS;7,8923;8,2546;7,331;7,2389;7,8507;7,1843;8,3721;8,1879;7,7338;7,7018;8,0584;7,5228;8,3986;8,9015;7,5106;8,1697;7,2751;7,5944;;;7,7394;7,9681;7,4243;7,2;7,6281;7,589;7,1113;6,6381;8,9992;8,1527
SCAGFL3023H02.g;GS1_SS_22562_04586;SCAGFL3023H02.g_SS;SS;;;;;6,1343;;;;;;;;;6,6603;;;;;;;;7,0262;;;;;;;6,4029;6,5622
SCCCST3006H01.g;GS1_SS_18372_09083;SCCCST3006H01.g_SS;SS;8,6118;8,728;7,9632;7,6506;8,2829;8,3853;8,5947;8,6478;7,7622;7,966;9,4998;8,7128;7,9906;8,6475;8,5169;8,804;7,7812;7,4473;9,272;9,1433;8,5964;8,5229;7,9943;7,831;8,457;8,1742;9,0051;8,9857;9,2918;8,0294
SCCCLR1C01D11.g;GS1_SS_16273_13066;SCCCLR1C01D11.g_SS;SS;12,3902;12,3982;12,1248;12,0654;6,686;7,3131;12,14;11,8873;11,6182;11,6716;9,4992;10,7152;;6,6172;11,9908;12,3624;12,2879;11,604;8,6864;8,9835;6,5766;6,5337;12,7112;12,3846;12,219;12,088;10,9625;9,4588;6,585;6,7561
SCCCST3006H09.g;GS1_SS_18374_10823;SCCCST3006H09.g_SS;SS;11,9355;11,9389;12,285;11,8772;9,8634;10,4637;11,7602;11,7834;11,9415;11,6244;11,9923;12,3501;9,6238;10,4228;11,5268;12,219;12,2515;12,2849;11,7371;11,718;10,1253;9,8994;11,5598;12,0176;12,2132;12,768;12,2669;12,1156;10,8955;10,7018
